Craving Type,Cuisine,Mood Associated,Description,Food Name
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #296,Nachos
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #582,Gulab Jamun
Sweet,Western,Comfort,Rich chocolate dessert #497,Chocolate Cake
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #587,Chicken 65
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #962",Tomato Soup
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #413",Fried Chicken
Crunchy,Indian,Rainy Day,Fried vegetable fritters #517,Pakora
Cold,Various,Happy/Chill,Frozen sweet treat #831,Ice Cream
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #910",Lemon Pickle
Comfort,Western,Low Mood,"Creamy, cheesy pasta #356",Mac & Cheese
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #587,Nachos
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #235",Spicy Ramen
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #30,Nachos
Crunchy,Indian,Rainy Day,Fried vegetable fritters #259,Pakora
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #180,Khichdi
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #719",Tomato Soup
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #698",Fried Chicken
Warm,Western,Cozy/Winter,Warm milk with chocolate #644,Hot Chocolate
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #197",Spicy Ramen
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #450",Lemon Pickle
Crunchy,Indian,Rainy Day,Fried vegetable fritters #356,Pakora
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #290",Sour Candy
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #332,Khichdi
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #222",Lemon Pickle
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #418,Nachos
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #406",Lemon Pickle
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #953,Gulab Jamun
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #602,Gulab Jamun
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #256,Khichdi
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #540,Nachos
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #849",Fried Chicken
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #853",Tomato Soup
Crunchy,Indian,Rainy Day,Fried vegetable fritters #441,Pakora
Comfort,Western,Low Mood,"Creamy, cheesy pasta #917",Mac & Cheese
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #820",Fried Chicken
Cold,Various,Happy/Chill,Frozen sweet treat #99,Ice Cream
Crunchy,Indian,Rainy Day,Fried vegetable fritters #137,Pakora
Comfort,Western,Low Mood,"Creamy, cheesy pasta #173",Mac & Cheese
Cold,Various,Tired/Hot Day,Coffee served over ice #466,Cold Coffee
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #371",Lemon Pickle
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #787,Khichdi
Cold,Various,Happy/Chill,Frozen sweet treat #689,Ice Cream
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #117",Spicy Ramen
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #374",Lemon Pickle
Crunchy,Indian,Rainy Day,Fried vegetable fritters #793,Pakora
Sweet,Western,Comfort,Rich chocolate dessert #311,Chocolate Cake
Salty,American,Snack Craving,Fried potato sticks with salt #914,French Fries
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #584,Nachos
Salty,American,Snack Craving,Fried potato sticks with salt #33,French Fries
Cold,Various,Happy/Chill,Frozen sweet treat #327,Ice Cream
Crunchy,Indian,Rainy Day,Fried vegetable fritters #759,Pakora
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #339,Nachos
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #495",Fried Chicken
Comfort,Western,Low Mood,"Creamy, cheesy pasta #423",Mac & Cheese
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #42,Chicken 65
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #543",Lemon Pickle
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #793,Khichdi
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #604",Spicy Ramen
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #167,Gulab Jamun
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #125",Lemon Pickle
Warm,Western,Cozy/Winter,Warm milk with chocolate #392,Hot Chocolate
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #586",Fried Chicken
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #268,Chicken 65
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #730",Sour Candy
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #702",Spicy Ramen
Warm,Western,Cozy/Winter,Warm milk with chocolate #679,Hot Chocolate
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #169",Lemon Pickle
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #228",Sour Candy
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #309",Spicy Ramen
Warm,Western,Cozy/Winter,Warm milk with chocolate #91,Hot Chocolate
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #349",Sour Candy
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #32",Tomato Soup
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #139",Spicy Ramen
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #466,Nachos
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #332",Lemon Pickle
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #39",Spicy Ramen
Sweet,Western,Comfort,Rich chocolate dessert #755,Chocolate Cake
Cold,Various,Happy/Chill,Frozen sweet treat #469,Ice Cream
Sweet,Western,Comfort,Rich chocolate dessert #592,Chocolate Cake
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #680",Lemon Pickle
Warm,Western,Cozy/Winter,Warm milk with chocolate #261,Hot Chocolate
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #355,Nachos
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #57",Tomato Soup
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #590",Tomato Soup
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #57",Lemon Pickle
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #507,Nachos
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #965",Fried Chicken
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #107,Khichdi
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #632,Khichdi
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #904",Tomato Soup
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #299",Tomato Soup
Warm,Western,Cozy/Winter,Warm milk with chocolate #401,Hot Chocolate
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #292",Sour Candy
Crunchy,Indian,Rainy Day,Fried vegetable fritters #348,Pakora
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #374",Fried Chicken
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #743,Chicken 65
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #307",Lemon Pickle
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #625,Chicken 65
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #868,Chicken 65
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #67",Tomato Soup
Cold,Various,Tired/Hot Day,Coffee served over ice #641,Cold Coffee
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #803,Gulab Jamun
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #746",Lemon Pickle
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #606,Chicken 65
Sweet,Western,Comfort,Rich chocolate dessert #819,Chocolate Cake
Cold,Various,Tired/Hot Day,Coffee served over ice #284,Cold Coffee
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #932",Sour Candy
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #254",Sour Candy
Comfort,Western,Low Mood,"Creamy, cheesy pasta #364",Mac & Cheese
Comfort,Western,Low Mood,"Creamy, cheesy pasta #888",Mac & Cheese
Warm,Western,Cozy/Winter,Warm milk with chocolate #61,Hot Chocolate
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #578",Tomato Soup
Salty,American,Snack Craving,Fried potato sticks with salt #979,French Fries
Sweet,Western,Comfort,Rich chocolate dessert #121,Chocolate Cake
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #12",Sour Candy
Warm,Western,Cozy/Winter,Warm milk with chocolate #800,Hot Chocolate
Cold,Various,Tired/Hot Day,Coffee served over ice #865,Cold Coffee
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #531,Gulab Jamun
Cold,Various,Happy/Chill,Frozen sweet treat #244,Ice Cream
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #316",Fried Chicken
Warm,Western,Cozy/Winter,Warm milk with chocolate #469,Hot Chocolate
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #878,Chicken 65
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #832,Gulab Jamun
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #229,Chicken 65
Sweet,Western,Comfort,Rich chocolate dessert #396,Chocolate Cake
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #71",Spicy Ramen
Cold,Various,Happy/Chill,Frozen sweet treat #981,Ice Cream
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #437,Chicken 65
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #724",Sour Candy
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #272,Gulab Jamun
Warm,Western,Cozy/Winter,Warm milk with chocolate #725,Hot Chocolate
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #959,Chicken 65
Salty,American,Snack Craving,Fried potato sticks with salt #76,French Fries
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #537,Chicken 65
Comfort,Western,Low Mood,"Creamy, cheesy pasta #387",Mac & Cheese
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #355",Sour Candy
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #730,Chicken 65
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #390,Chicken 65
Cold,Various,Happy/Chill,Frozen sweet treat #867,Ice Cream
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #31",Tomato Soup
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #244,Nachos
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #120",Tomato Soup
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #275",Lemon Pickle
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #633,Chicken 65
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #287,Chicken 65
Cold,Various,Happy/Chill,Frozen sweet treat #791,Ice Cream
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #508",Tomato Soup
Crunchy,Indian,Rainy Day,Fried vegetable fritters #40,Pakora
Warm,Western,Cozy/Winter,Warm milk with chocolate #146,Hot Chocolate
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #476",Fried Chicken
Cold,Various,Happy/Chill,Frozen sweet treat #925,Ice Cream
Crunchy,Indian,Rainy Day,Fried vegetable fritters #728,Pakora
Warm,Western,Cozy/Winter,Warm milk with chocolate #889,Hot Chocolate
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #649",Sour Candy
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #599",Spicy Ramen
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #937",Sour Candy
Cold,Various,Happy/Chill,Frozen sweet treat #770,Ice Cream
Warm,Western,Cozy/Winter,Warm milk with chocolate #446,Hot Chocolate
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #260,Chicken 65
Warm,Western,Cozy/Winter,Warm milk with chocolate #619,Hot Chocolate
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #605",Spicy Ramen
Cold,Various,Tired/Hot Day,Coffee served over ice #178,Cold Coffee
Crunchy,Indian,Rainy Day,Fried vegetable fritters #856,Pakora
Sweet,Western,Comfort,Rich chocolate dessert #380,Chocolate Cake
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #193",Spicy Ramen
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #759",Spicy Ramen
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #225,Khichdi
Cold,Various,Tired/Hot Day,Coffee served over ice #364,Cold Coffee
Comfort,Western,Low Mood,"Creamy, cheesy pasta #528",Mac & Cheese
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #805,Nachos
Cold,Various,Happy/Chill,Frozen sweet treat #512,Ice Cream
Salty,American,Snack Craving,Fried potato sticks with salt #559,French Fries
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #252",Fried Chicken
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #279,Nachos
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #531",Sour Candy
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #430,Gulab Jamun
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #9",Lemon Pickle
Comfort,Western,Low Mood,"Creamy, cheesy pasta #645",Mac & Cheese
Cold,Various,Tired/Hot Day,Coffee served over ice #641,Cold Coffee
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #815,Nachos
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #332",Spicy Ramen
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #329,Khichdi
Cold,Various,Tired/Hot Day,Coffee served over ice #840,Cold Coffee
Warm,Western,Cozy/Winter,Warm milk with chocolate #156,Hot Chocolate
Comfort,Western,Low Mood,"Creamy, cheesy pasta #19",Mac & Cheese
Cold,Various,Tired/Hot Day,Coffee served over ice #802,Cold Coffee
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #80,Nachos
Cold,Various,Happy/Chill,Frozen sweet treat #195,Ice Cream
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #207",Lemon Pickle
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #146",Spicy Ramen
Salty,American,Snack Craving,Fried potato sticks with salt #15,French Fries
Cold,Various,Tired/Hot Day,Coffee served over ice #530,Cold Coffee
Crunchy,Indian,Rainy Day,Fried vegetable fritters #784,Pakora
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #647,Chicken 65
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #463",Sour Candy
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #218",Lemon Pickle
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #990",Fried Chicken
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #857",Sour Candy
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #718,Chicken 65
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #156,Gulab Jamun
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #276",Lemon Pickle
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #439,Nachos
Cold,Various,Tired/Hot Day,Coffee served over ice #693,Cold Coffee
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #422,Gulab Jamun
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #687,Gulab Jamun
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #879,Nachos
Warm,Western,Cozy/Winter,Warm milk with chocolate #903,Hot Chocolate
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #398",Sour Candy
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #788,Chicken 65
Crunchy,Indian,Rainy Day,Fried vegetable fritters #157,Pakora
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #788",Lemon Pickle
Salty,American,Snack Craving,Fried potato sticks with salt #137,French Fries
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #67",Sour Candy
Cold,Various,Tired/Hot Day,Coffee served over ice #358,Cold Coffee
Sweet,Western,Comfort,Rich chocolate dessert #510,Chocolate Cake
Salty,American,Snack Craving,Fried potato sticks with salt #470,French Fries
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #632,Gulab Jamun
Cold,Various,Happy/Chill,Frozen sweet treat #961,Ice Cream
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #54",Spicy Ramen
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #738,Chicken 65
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #725,Khichdi
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #904",Sour Candy
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #688",Lemon Pickle
Salty,American,Snack Craving,Fried potato sticks with salt #235,French Fries
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #672",Tomato Soup
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #54,Khichdi
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #237,Khichdi
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #982,Chicken 65
Sweet,Western,Comfort,Rich chocolate dessert #325,Chocolate Cake
Salty,American,Snack Craving,Fried potato sticks with salt #616,French Fries
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #986,Gulab Jamun
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #523,Chicken 65
Warm,Western,Cozy/Winter,Warm milk with chocolate #459,Hot Chocolate
Sweet,Western,Comfort,Rich chocolate dessert #319,Chocolate Cake
Comfort,Western,Low Mood,"Creamy, cheesy pasta #619",Mac & Cheese
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #739",Spicy Ramen
Salty,American,Snack Craving,Fried potato sticks with salt #621,French Fries
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #92,Chicken 65
Comfort,Western,Low Mood,"Creamy, cheesy pasta #823",Mac & Cheese
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #781",Fried Chicken
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #513",Lemon Pickle
Cold,Various,Tired/Hot Day,Coffee served over ice #29,Cold Coffee
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #582",Fried Chicken
Cold,Various,Happy/Chill,Frozen sweet treat #417,Ice Cream
Cold,Various,Happy/Chill,Frozen sweet treat #333,Ice Cream
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #902",Tomato Soup
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #621,Gulab Jamun
Salty,American,Snack Craving,Fried potato sticks with salt #347,French Fries
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #963,Chicken 65
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #954,Chicken 65
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #478",Tomato Soup
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #90",Lemon Pickle
Cold,Various,Tired/Hot Day,Coffee served over ice #874,Cold Coffee
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #408,Nachos
Cold,Various,Tired/Hot Day,Coffee served over ice #89,Cold Coffee
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #762",Fried Chicken
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #368,Khichdi
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #106",Sour Candy
Crunchy,Indian,Rainy Day,Fried vegetable fritters #339,Pakora
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #241",Sour Candy
Comfort,Western,Low Mood,"Creamy, cheesy pasta #458",Mac & Cheese
Warm,Western,Cozy/Winter,Warm milk with chocolate #439,Hot Chocolate
Cold,Various,Happy/Chill,Frozen sweet treat #669,Ice Cream
Cold,Various,Tired/Hot Day,Coffee served over ice #758,Cold Coffee
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #877",Spicy Ramen
Warm,Western,Cozy/Winter,Warm milk with chocolate #525,Hot Chocolate
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #536",Fried Chicken
